/M11/S X,/M11/S Y
-20,2.584716263872654e-05
-18,2.585192458840048e-05
-16,2.585652956068379e-05
-14,2.586096665885171e-05
-12,2.586523715507885e-05
-10,2.586934231254201e-05
-8,2.587328336590353e-05
-6,2.587706152172534e-05
-4,2.588067795888458e-05
-2,2.588413382898725e-05
0,2.588743025678457e-05
2,2.589056834057078e-05
4,2.589354915259441e-05
6,2.589637373944009e-05
8,2.589904312243706e-05
10,2.590155829803514e-05
12,2.590392023819561e-05
14,2.590612989076536e-05
16,2.590818817985751e-05
18,2.591009600622015e-05
20,2.591185424759646e-05
22,2.591346375908802e-05
24,2.591492537350994e-05
26,2.591623990173733e-05
28,2.591740813304179e-05
30,2.591843083542876e-05
32,2.591930875596366e-05
34,2.592004262107436e-05
36,2.59206331369206e-05
38,2.592108098963007e-05
40,2.592138684562911e-05
42,2.592155135194198e-05
44,2.592157513637143e-05
46,2.592145880787509e-05
48,2.59212029567726e-05
50,2.59208081549963e-05
52,2.592027495637154e-05
54,2.591960389677585e-05
56,2.591879549438445e-05
58,2.591785024987488e-05
60,2.591676864660394e-05
62,2.591555115080143e-05
64,2.591419821173221e-05
66,2.591271026185605e-05
68,2.591108771696391e-05
70,2.590933097631267e-05
72,2.590744042273811e-05
74,2.590541642277306e-05
76,2.590325932671939e-05
78,2.590096946873484e-05
80,2.589854716690045e-05
