/M11/S X,/M11/S Y
-20,2.733532821364809e-05
-18,2.733796720781174e-05
-16,2.734053831237555e-05
-14,2.734290845991078e-05
-12,2.734507898878774e-05
-10,2.734705120514848e-05
-8,2.734882638969214e-05
-6,2.735040579861336e-05
-4,2.735179066443868e-05
-2,2.735298219688208e-05
0,2.735398158364436e-05
2,2.735478999119281e-05
4,2.735540856552612e-05
6,2.735583843292553e-05
8,2.735608070064867e-05
10,2.735613645763318e-05
12,2.735600677517454e-05
14,2.73556927075888e-05
16,2.735519529283557e-05
18,2.735451555316528e-05
20,2.735365449569938e-05
22,2.735261311306103e-05
24,2.735139238390894e-05
26,2.734999327356583e-05
28,2.734841673452192e-05
30,2.734666370700429e-05
32,2.734473511953923e-05
34,2.734263188943396e-05
36,2.734035492334345e-05
38,2.733790511776742e-05
40,2.733528335957598e-05
42,2.733249052650298e-05
44,2.732952748767703e-05
46,2.732639510409757e-05
48,2.732309422917674e-05
50,2.731962570921172e-05
52,2.731599038392587e-05
54,2.731218908695518e-05
56,2.73082226463949e-05
58,2.730409188531109e-05
60,2.729979762227206e-05
62,2.729534067190735e-05
64,2.72907218454658e-05
66,2.728594195128507e-05
68,2.728100179564749e-05
70,2.727590218327485e-05
72,2.727064391764919e-05
74,2.726522780189483e-05
76,2.725965463969189e-05
78,2.725392523566587e-05
80,2.724804039621883e-05
