/M6/S X,/M6/S Y
-20,2.94425679406122e-05
-18,2.942904076212258e-05
-16,2.941527115319224e-05
-14,2.940125986148471e-05
-12,2.938700759952705e-05
-10,2.937251504475103e-05
-8,2.93577828394993e-05
-6,2.934281159100882e-05
-4,2.932760187135725e-05
-2,2.931215421737556e-05
0,2.92964691305207e-05
2,2.928054707673728e-05
4,2.926438848625112e-05
6,2.924799375336117e-05
8,2.923136323616214e-05
10,2.921449725626439e-05
12,2.919739609844794e-05
14,2.918006001029238e-05
16,2.916248920176057e-05
18,2.914468384475204e-05
20,2.912664407260053e-05
22,2.910836997953373e-05
24,2.908986162014194e-05
26,2.907111900852728e-05
28,2.905214211805879e-05
30,2.903293088021216e-05
32,2.901348518402106e-05
34,2.899380487519744e-05
36,2.897388975524248e-05
38,2.895373958052662e-05
40,2.893335406127182e-05
42,2.891273286050774e-05
44,2.889187559293896e-05
46,2.88707818237572e-05
48,2.884945106739768e-05
50,2.882788278619421e-05
52,2.880607638896947e-05
54,2.878403122957451e-05
56,2.876174660529909e-05
58,2.873922175523273e-05
60,2.871645585851524e-05
62,2.869344803249815e-05
64,2.867019733081675e-05
66,2.864670274133143e-05
68,2.862296318399171e-05
70,2.859897750855443e-05
72,2.857474449220307e-05
74,2.855026283702221e-05
76,2.852553116735525e-05
78,2.850054802699939e-05
80,2.847531187624746e-05
