/M11/S X,/M11/S Y
-20,2.794346711016346e-05
-18,2.794816414428663e-05
-16,2.795269512623221e-05
-14,2.795704837681743e-05
-12,2.796122523705162e-05
-10,2.796522703840458e-05
-8,2.796905508225378e-05
-6,2.797271064029333e-05
-4,2.79761949549902e-05
-2,2.797950924002956e-05
0,2.798265468073311e-05
2,2.798563243450322e-05
4,2.798844363124149e-05
6,2.799108937377575e-05
8,2.799357073826811e-05
10,2.79958887746349e-05
12,2.799804450694672e-05
14,2.800003893384062e-05
16,2.800187302890167e-05
18,2.800354774107228e-05
20,2.800506399503055e-05
22,2.800642269157369e-05
24,2.800762470797958e-05
26,2.80086708983973e-05
28,2.800956209418994e-05
30,2.801029910429216e-05
32,2.801088271556403e-05
34,2.801131369311285e-05
36,2.801159278063625e-05
38,2.801172070073966e-05
40,2.801169815523994e-05
42,2.801152582547312e-05
44,2.801120437259067e-05
46,2.801073443783046e-05
48,2.801011664280224e-05
50,2.800935158972926e-05
52,2.800843986171806e-05
54,2.800738202298394e-05
56,2.800617861908387e-05
58,2.800483017712901e-05
60,2.800333720598823e-05
62,2.800170019647618e-05
64,2.799991962153599e-05
66,2.799799593640667e-05
68,2.799592957875429e-05
70,2.799372096884918e-05
72,2.799137050964829e-05
74,2.798887858693966e-05
76,2.798624556942209e-05
78,2.798347180878599e-05
80,2.798055763979681e-05
