/M6/S X,/M6/S Y
-20,2.77506877874194e-05
-18,2.774877148648817e-05
-16,2.77466885336306e-05
-14,2.77444396681168e-05
-12,2.774202561617283e-05
-10,2.773944709144912e-05
-8,2.773670479549427e-05
-6,2.773379941822289e-05
-4,2.773073163835343e-05
-2,2.772750212383023e-05
0,2.772411153223844e-05
2,2.772056051119145e-05
4,2.771684969870595e-05
6,2.771297972356922e-05
8,2.770895120568299e-05
10,2.770476475639507e-05
12,2.770042097882214e-05
14,2.76959204681636e-05
16,2.769126381198559e-05
18,2.768645159050726e-05
20,2.768148437688889e-05
22,2.767636273747344e-05
24,2.767108723204774e-05
26,2.766565841408453e-05
28,2.766007683097316e-05
30,2.765434302423973e-05
32,2.764845752976466e-05
34,2.764242087798685e-05
36,2.763623359409811e-05
38,2.762989619823718e-05
40,2.762340920566596e-05
42,2.761677312694743e-05
44,2.760998846810872e-05
46,2.7603055730808e-05
48,2.759597541247991e-05
50,2.758874800649113e-05
52,2.758137400227412e-05
54,2.757385388547197e-05
56,2.756618813805848e-05
58,2.75583772384732e-05
60,2.755042166172868e-05
62,2.754232187953774e-05
64,2.753407836041783e-05
66,2.752569156979382e-05
68,2.751716197010324e-05
70,2.750849002089375e-05
72,2.749967617890829e-05
74,2.749072089818372e-05
76,2.748162463013201e-05
78,2.747238782361874e-05
80,2.746301092504787e-05
