/M6/S X,/M6/S Y
-20,3.0508355756317e-05
-18,3.050321461343349e-05
-16,3.049792187049694e-05
-14,3.049247794730992e-05
-12,3.048688325768384e-05
-10,3.048113820971808e-05
-8,3.047524320606691e-05
-6,3.046919864421326e-05
-4,3.04630049167227e-05
-2,3.045666241148627e-05
0,3.045017151196476e-05
2,3.044353259740786e-05
4,3.043674604308027e-05
6,3.042981222046702e-05
8,3.042273149747611e-05
10,3.04155042386308e-05
12,3.040813080525941e-05
14,3.040061155566972e-05
16,3.039294684531977e-05
18,3.038513702698683e-05
20,3.037718245091775e-05
22,3.036908346498313e-05
24,3.036084041482634e-05
26,3.035245364398943e-05
28,3.034392349405958e-05
30,3.033525030478579e-05
32,3.032643441420911e-05
34,3.031747615876756e-05
36,3.030837587341739e-05
38,3.029913389172934e-05
40,3.028975054600215e-05
42,3.028022616735162e-05
44,3.027056108579742e-05
46,3.026075563036512e-05
48,3.025081012915746e-05
50,3.024072490944379e-05
52,3.02305002977291e-05
54,3.022013661982864e-05
56,3.020963420094273e-05
58,3.019899336571365e-05
60,3.018821443829183e-05
62,3.017729774239686e-05
64,3.016624360137442e-05
66,3.015505233824204e-05
68,3.014372427574964e-05
70,3.013225973642129e-05
72,3.012065904260302e-05
74,3.01089225165037e-05
76,3.009705048023785e-05
78,3.008504325586709e-05
80,3.00729011654214e-05
