/M6/S X,/M6/S Y
-20,2.818194650210228e-05
-18,2.817747828803289e-05
-16,2.81728684215833e-05
-14,2.816811727816362e-05
-12,2.816322522850373e-05
-10,2.815819263885966e-05
-8,2.815301987124239e-05
-6,2.814770728363919e-05
-4,2.8142255230216e-05
-2,2.813666406152799e-05
0,2.813093412470849e-05
2,2.81250657636545e-05
4,2.811905931921345e-05
6,2.81129151293471e-05
8,2.810663352930431e-05
10,2.810021485177537e-05
12,2.809365942704942e-05
14,2.808696758315577e-05
16,2.80801396460108e-05
18,2.807317593954529e-05
20,2.806607678584229e-05
22,2.805884250525353e-05
24,2.805147341652089e-05
26,2.804396983689218e-05
28,2.803633208222262e-05
30,2.802856046708747e-05
32,2.802065530487586e-05
34,2.801261690788405e-05
36,2.800444558740896e-05
38,2.799614165383639e-05
40,2.798770541671327e-05
42,2.797913718483879e-05
44,2.797043726633155e-05
46,2.796160596870094e-05
48,2.795264359891486e-05
50,2.794355046346406e-05
52,2.793432686842462e-05
54,2.792497311951408e-05
56,2.791548952214417e-05
58,2.790587638147503e-05
60,2.789613400246815e-05
62,2.788626268992013e-05
64,2.787626274852171e-05
66,2.786613448288731e-05
68,2.785587819760458e-05
70,2.784549419725816e-05
72,2.783498278647571e-05
74,2.782434426995273e-05
76,2.781357895249049e-05
78,2.780268713901502e-05
80,2.779166913461398e-05
